Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
27U_13_40,mini_2zhq_model0_chainH_27U_resi501__chainH_1,0.887,0.637,0.251
27U_15_108,mini_2zhq_model0_chainH_27U_resi501__chainH_1,0.855,0.612,0.243
27U_10_250,mini_2zhq_model0_chainH_27U_resi501__chainH_1,0.854,0.648,0.206
26U_30_20,mini_2ziq_model0_chainH_26U_resi701__chainH_altB_1,0.893,0.648,0.245
26U_21_40,mini_2ziq_model0_chainH_26U_resi701__chainH_altB_1,0.869,0.634,0.235
26U_22_1,mini_2ziq_model0_chainH_26U_resi701__chainH_altB_1,0.864,0.633,0.231
F1I_17_49,mini_2zji_model0_chainA_F1I_resi449__chainA_1,1.087,0.608,0.478
F1I_31_178,mini_2zji_model0_chainA_F1I_resi449__chainA_1,1.033,0.614,0.419
F1I_30_36,mini_2zji_model0_chainA_F1I_resi449__chainA_1,1.003,0.578,0.424
NRO_22_27,mini_2zk5_model0_chainA_NRO_resi1__chainA_1,1.018,0.65,0.368
NRO_30_2,mini_2zk5_model0_chainA_NRO_resi1__chainA_1,0.964,0.733,0.23
NRO_3_61,mini_2zk5_model0_chainA_NRO_resi1__chainA_1,0.956,0.647,0.309
GA4_25_16,mini_2zsi_model0_chainA_GA4_resi345__chainA_1,1.023,0.715,0.308
GA4_29_95,mini_2zsi_model0_chainA_GA4_resi345__chainA_1,0.965,0.697,0.268
GA4_19_6,mini_2zsi_model0_chainA_GA4_resi345__chainA_1,0.961,0.602,0.359
609_15_21,mini_2zv2_model0_chainA_609_resi501__chainA_1,1.183,0.771,0.412
609_17_6,mini_2zv2_model0_chainA_609_resi501__chainA_1,1.037,0.733,0.304
609_14_298,mini_2zv2_model0_chainA_609_resi501__chainA_1,1.033,0.734,0.298
NOX_26_95,mini_35c8_model0_chainL_NOX_resi212__chainH_chainL_1,1.013,0.751,0.261
NOX_15_3,mini_35c8_model0_chainL_NOX_resi212__chainH_chainL_1,0.828,0.634,0.194
NOX_19_133,mini_35c8_model0_chainL_NOX_resi212__chainH_chainL_1,0.813,0.65,0.163
CHD_4_0,mini_3abm_model0_chainB_CHD_resi1086__chainT_chainA_1,0.898,0.633,0.265
CHD_8_29,mini_3abm_model0_chainB_CHD_resi1086__chainT_chainA_1,0.862,0.631,0.231
CHD_15_10,mini_3abm_model0_chainB_CHD_resi1086__chainT_chainA_1,0.82,0.641,0.179
KSS_20_1,mini_3acj_model0_chainA_KSS_resi513__chainA_1,1.161,0.779,0.382
KSS_11_6,mini_3acj_model0_chainA_KSS_resi513__chainA_1,1.065,0.777,0.288
KSS_17_2,mini_3acj_model0_chainA_KSS_resi513__chainA_1,1.06,0.734,0.325
SKE_25_39,mini_3ama_model0_chainA_SKE_resi351__chainA_1,0.992,0.74,0.253
SKE_11_65,mini_3ama_model0_chainA_SKE_resi351__chainA_1,0.904,0.61,0.293
SKE_29_119,mini_3ama_model0_chainA_SKE_resi351__chainA_1,0.89,0.607,0.283
S82_11_29,mini_3ant_model0_chainB_S82_resi602__chainB_1,1.029,0.743,0.285
S82_29_18,mini_3ant_model0_chainB_S82_resi602__chainB_1,0.933,0.756,0.178
S82_13_15,mini_3ant_model0_chainB_S82_resi602__chainB_1,0.92,0.66,0.26
DP0_6_34,mini_3apw_model0_chainA_DP0_resi190__chainA_1,0.921,0.626,0.294
DP0_21_35,mini_3apw_model0_chainA_DP0_resi190__chainA_1,0.918,0.596,0.321
DP0_2_9,mini_3apw_model0_chainA_DP0_resi190__chainA_1,0.897,0.659,0.237
MSJ_10_291,mini_3arn_model0_chainA_MSJ_resi165__chainA_chainC_1,0.867,0.592,0.274
MSJ_26_148,mini_3arn_model0_chainA_MSJ_resi165__chainA_chainC_1,0.833,0.609,0.224
MSJ_20_32,mini_3arn_model0_chainA_MSJ_resi165__chainA_chainC_1,0.822,0.544,0.278
VX3_14_20,mini_3bgz_model0_chainA_VX3_resi314__chainA_1,1.192,0.77,0.422
VX3_13_37,mini_3bgz_model0_chainA_VX3_resi314__chainA_1,1.151,0.738,0.414
VX3_16_5,mini_3bgz_model0_chainA_VX3_resi314__chainA_1,1.136,0.768,0.368
DD1_26_49,mini_3bl7_model0_chainA_DD1_resi901__chainA_1,0.967,0.713,0.255
DD1_22_147,mini_3bl7_model0_chainA_DD1_resi901__chainA_1,0.93,0.659,0.27
DD1_11_14,mini_3bl7_model0_chainA_DD1_resi901__chainA_1,0.92,0.559,0.361
BXZ_32_11,mini_3bm9_model0_chainA_BXZ_resi1__chainA_altA_1,1.102,0.812,0.29
BXZ_22_36,mini_3bm9_model0_chainA_BXZ_resi1__chainA_altA_1,1.054,0.726,0.328
BXZ_14_9,mini_3bm9_model0_chainA_BXZ_resi1__chainA_altA_1,1.034,0.767,0.268
CXZ_14_204,mini_3bmy_model0_chainA_CXZ_resi1__chainA_1,1.029,0.813,0.216
CXZ_29_65,mini_3bmy_model0_chainA_CXZ_resi1__chainA_1,0.977,0.78,0.197
CXZ_23_103,mini_3bmy_model0_chainA_CXZ_resi1__chainA_1,0.9,0.739,0.161
304_31_5,mini_3bx5_model0_chainA_304_resi501__chainA_1,1.007,0.62,0.387
304_26_0,mini_3bx5_model0_chainA_304_resi501__chainA_1,0.968,0.651,0.316
304_30_27,mini_3bx5_model0_chainA_304_resi501__chainA_1,0.919,0.641,0.278
SX3_31_3,mini_3cj2_model0_chainA_SX3_resi571__chainA_altA_1,1.176,0.779,0.397
SX3_22_171,mini_3cj2_model0_chainA_SX3_resi571__chainA_altA_1,1.173,0.747,0.426
SX3_13_6,mini_3cj2_model0_chainA_SX3_resi571__chainA_altA_1,1.086,0.791,0.294
C19_27_5,mini_3cp9_model0_chainB_C19_resi502__chainB_1,0.901,0.682,0.219
C19_19_102,mini_3cp9_model0_chainB_C19_resi502__chainB_1,0.894,0.735,0.159
C19_26_186,mini_3cp9_model0_chainB_C19_resi502__chainB_1,0.887,0.761,0.126
C52_9_3,mini_3cpc_model0_chainA_C52_resi1__chainA_1,1.067,0.703,0.364
C52_22_85,mini_3cpc_model0_chainA_C52_resi1__chainA_1,1.031,0.806,0.226
C52_11_1,mini_3cpc_model0_chainA_C52_resi1__chainA_1,1.002,0.761,0.24
809_10_0,mini_3cr0_model0_chainA_809_resi901__chainA_altB_1,0.983,0.732,0.251
809_16_21,mini_3cr0_model0_chainA_809_resi901__chainA_altB_1,0.959,0.75,0.209
809_11_202,mini_3cr0_model0_chainA_809_resi901__chainA_altB_1,0.941,0.717,0.224
319_29_132,mini_3cth_model0_chainA_319_resi2001__chainA_1,0.892,0.692,0.2
319_30_23,mini_3cth_model0_chainA_319_resi2001__chainA_1,0.885,0.69,0.195
319_23_238,mini_3cth_model0_chainA_319_resi2001__chainA_1,0.881,0.688,0.193
SNX_12_0,mini_3d0b_model0_chainA_SNX_resi233__chainA_altB_1,0.936,0.699,0.236
SNX_29_38,mini_3d0b_model0_chainA_SNX_resi233__chainA_altB_1,0.926,0.671,0.255
SNX_13_76,mini_3d0b_model0_chainA_SNX_resi233__chainA_altB_1,0.905,0.621,0.284
B34_9_176,mini_3d28_model0_chainB_B34_resi579__chainB_1,0.994,0.653,0.341
B34_20_134,mini_3d28_model0_chainB_B34_resi579__chainB_1,0.961,0.662,0.299
B34_11_45,mini_3d28_model0_chainB_B34_resi579__chainB_1,0.924,0.711,0.213
NOG_25_5,mini_3d90_model0_chainB_NOG_resi2001__chainB_1,0.962,0.676,0.286
NOG_16_60,mini_3d90_model0_chainB_NOG_resi2001__chainB_1,0.917,0.725,0.192
NOG_5_61,mini_3d90_model0_chainB_NOG_resi2001__chainB_1,0.914,0.672,0.241
44U_15_102,mini_3da9_model0_chainB_44U_resi1__chainB_1,0.837,0.639,0.197
44U_8_247,mini_3da9_model0_chainB_44U_resi1__chainB_1,0.822,0.607,0.216
44U_28_10,mini_3da9_model0_chainB_44U_resi1__chainB_1,0.822,0.624,0.198
552_5_175,mini_3ddu_model0_chainA_552_resi901__chainA_altA_1,0.941,0.654,0.287
552_15_176,mini_3ddu_model0_chainA_552_resi901__chainA_altA_1,0.937,0.644,0.293
552_1_37,mini_3ddu_model0_chainA_552_resi901__chainA_altA_1,0.935,0.64,0.295
DF9_25_54,mini_3df9_model0_chainA_DF9_resi233__chainA_altB_1,0.975,0.693,0.281
DF9_20_62,mini_3df9_model0_chainA_DF9_resi233__chainA_altB_1,0.965,0.69,0.275
DF9_27_280,mini_3df9_model0_chainA_DF9_resi233__chainA_altB_1,0.956,0.767,0.189
SX7_2_9,mini_3dk3_model0_chainA_SX7_resi1__chainA_altB_1,0.962,0.726,0.235
SX7_13_32,mini_3dk3_model0_chainA_SX7_resi1__chainA_altB_1,0.958,0.656,0.302
SX7_12_19,mini_3dk3_model0_chainA_SX7_resi1__chainA_altB_1,0.921,0.648,0.273
SX8_13_27,mini_3dkf_model0_chainA_SX8_resi1__chainA_altA_1,0.94,0.698,0.242
SX8_6_51,mini_3dkf_model0_chainA_SX8_resi1__chainA_altA_1,0.922,0.683,0.239
SX8_3_46,mini_3dkf_model0_chainA_SX8_resi1__chainA_altA_1,0.91,0.634,0.277
BIG_15_254,mini_3dp9_model0_chainA_BIG_resi301__chainA_1,0.953,0.656,0.297
BIG_29_19,mini_3dp9_model0_chainA_BIG_resi301__chainA_1,0.949,0.715,0.234
BIG_7_38,mini_3dp9_model0_chainA_BIG_resi301__chainA_1,0.905,0.7,0.205
16U_26_22,mini_3dt0_model0_chainH_16U_resi901__chainH_altA_1,1.119,0.663,0.455
16U_20_0,mini_3dt0_model0_chainH_16U_resi901__chainH_altA_1,0.931,0.533,0.398
16U_8_31,mini_3dt0_model0_chainH_16U_resi901__chainH_altA_1,0.917,0.663,0.254
369_4_9,mini_3dt3_model0_chainB_369_resi2__chainB_1,0.985,0.801,0.183
369_30_33,mini_3dt3_model0_chainB_369_resi2__chainB_1,0.91,0.615,0.295
369_27_84,mini_3dt3_model0_chainB_369_resi2__chainB_1,0.897,0.643,0.254
N22_6_13,mini_3e0b_model0_chainA_N22_resi208__chainA_altB_1,1.057,0.791,0.266
N22_26_22,mini_3e0b_model0_chainA_N22_resi208__chainA_altB_1,1.047,0.838,0.209
N22_4_16,mini_3e0b_model0_chainA_N22_resi208__chainA_altB_1,0.968,0.732,0.236
35F_2_0,mini_3e7o_model0_chainB_35F_resi2__chainB_1,0.871,0.624,0.247
35F_19_93,mini_3e7o_model0_chainB_35F_resi2__chainB_1,0.86,0.69,0.17
35F_27_150,mini_3e7o_model0_chainB_35F_resi2__chainB_1,0.848,0.667,0.181
G95_14_296,mini_3e87_model0_chainB_G95_resi1__chainB_altA_1,1.008,0.811,0.196
G95_30_149,mini_3e87_model0_chainB_G95_resi1__chainB_altA_1,0.921,0.667,0.254
G95_25_32,mini_3e87_model0_chainB_G95_resi1__chainB_altA_1,0.915,0.761,0.154
LZQ_8_138,mini_3eb1_model0_chainA_LZQ_resi322__chainA_1,0.908,0.552,0.357
LZQ_29_270,mini_3eb1_model0_chainA_LZQ_resi322__chainA_1,0.902,0.576,0.326
LZQ_21_39,mini_3eb1_model0_chainA_LZQ_resi322__chainA_1,0.816,0.662,0.153
706_32_60,mini_3efl_model0_chainB_706_resi502__chainB_1,1.127,0.753,0.374
706_8_8,mini_3efl_model0_chainB_706_resi502__chainB_1,0.933,0.686,0.247
706_26_39,mini_3efl_model0_chainB_706_resi502__chainB_1,0.927,0.702,0.225
HN4_15_0,mini_3ejr_model0_chainA_HN4_resi1049__chainA_altA_1,1.005,0.745,0.26
HN4_30_36,mini_3ejr_model0_chainA_HN4_resi1049__chainA_altA_1,0.987,0.813,0.174
HN4_28_80,mini_3ejr_model0_chainA_HN4_resi1049__chainA_altA_1,0.936,0.667,0.269
HN5_20_48,mini_3ejs_model0_chainA_HN5_resi1049__chainA_altB_1,0.974,0.812,0.162
HN5_17_29,mini_3ejs_model0_chainA_HN5_resi1049__chainA_altB_1,0.925,0.711,0.214
HN5_32_42,mini_3ejs_model0_chainA_HN5_resi1049__chainA_altB_1,0.897,0.604,0.293
HN6_29_62,mini_3ejt_model0_chainA_HN6_resi1050__chainA_altA_1,1.004,0.758,0.246
HN6_23_51,mini_3ejt_model0_chainA_HN6_resi1050__chainA_altA_1,0.975,0.609,0.366
HN6_31_49,mini_3ejt_model0_chainA_HN6_resi1050__chainA_altA_1,0.921,0.65,0.271
HN7_30_214,mini_3eju_model0_chainA_HN7_resi1049__chainA_altB_1,1.074,0.817,0.257
HN7_6_5,mini_3eju_model0_chainA_HN7_resi1049__chainA_altB_1,0.97,0.79,0.18
HN7_18_151,mini_3eju_model0_chainA_HN7_resi1049__chainA_altB_1,0.951,0.676,0.274
HXH_27_15,mini_3emz_model0_chainA_HXH_resi1000__chainA_1,0.979,0.836,0.143
HXH_20_133,mini_3emz_model0_chainA_HXH_resi1000__chainA_1,0.972,0.608,0.363
HXH_11_196,mini_3emz_model0_chainA_HXH_resi1000__chainA_1,0.949,0.773,0.175
KS5_32_0,mini_3en6_model0_chainB_KS5_resi2__chainB_1,1.111,0.787,0.324
KS5_30_0,mini_3en6_model0_chainB_KS5_resi2__chainB_1,1.08,0.787,0.293
KS5_8_36,mini_3en6_model0_chainB_KS5_resi2__chainB_1,0.999,0.799,0.2
PK2_16_195,mini_3eos_model0_chainA_PK2_resi400__chainA_altA_1,0.987,0.815,0.172
PK2_12_3,mini_3eos_model0_chainA_PK2_resi400__chainA_altA_1,0.899,0.613,0.286
PK2_28_1,mini_3eos_model0_chainA_PK2_resi400__chainA_altA_1,0.886,0.619,0.267
ET1_6_13,mini_3et1_model0_chainB_ET1_resi2__chainB_1,1.061,0.786,0.275
ET1_24_11,mini_3et1_model0_chainB_ET1_resi2__chainB_1,0.988,0.643,0.345
ET1_31_3,mini_3et1_model0_chainB_ET1_resi2__chainB_1,0.987,0.688,0.299
5MS_19_3,mini_3exo_model0_chainA_5MS_resi453__chainA_1,1.046,0.737,0.309
5MS_13_3,mini_3exo_model0_chainA_5MS_resi453__chainA_1,1.038,0.673,0.365
5MS_24_11,mini_3exo_model0_chainA_5MS_resi453__chainA_1,0.992,0.702,0.29
DRK_7_39,mini_3f3z_model0_chainA_DRK_resi1__chainA_altA_1,0.937,0.687,0.25
DRK_22_3,mini_3f3z_model0_chainA_DRK_resi1__chainA_altA_1,0.905,0.623,0.283
DRK_18_9,mini_3f3z_model0_chainA_DRK_resi1__chainA_altA_1,0.869,0.658,0.211
IHH_3_1,mini_3f6x_model0_chainC_IHH_resi1__chainC_1,0.896,0.588,0.307
IHH_16_284,mini_3f6x_model0_chainC_IHH_resi1__chainC_1,0.853,0.63,0.223
IHH_15_1,mini_3f6x_model0_chainC_IHH_resi1__chainC_1,0.851,0.588,0.263
FCF_15_39,mini_3fcf_model0_chainA_FCF_resi1__chainA_altA_1,0.882,0.588,0.294
FCF_30_266,mini_3fcf_model0_chainA_FCF_resi1__chainA_altA_1,0.881,0.673,0.208
FCF_12_179,mini_3fcf_model0_chainA_FCF_resi1__chainA_altA_1,0.762,0.607,0.155
3FI_9_244,mini_3fci_model0_chainA_3FI_resi1__chainA_altB_1,0.902,0.591,0.311
3FI_27_29,mini_3fci_model0_chainA_3FI_resi1__chainA_altB_1,0.875,0.603,0.271
3FI_13_55,mini_3fci_model0_chainA_3FI_resi1__chainA_altB_1,0.84,0.536,0.304
FCK_14_51,mini_3fck_model0_chainB_FCK_resi1__chainB_1,0.851,0.7,0.152
FCK_6_65,mini_3fck_model0_chainB_FCK_resi1__chainB_1,0.752,0.479,0.274
FCK_24_121,mini_3fck_model0_chainB_FCK_resi1__chainB_1,0.733,0.645,0.088
P4O_28_7,mini_3fhr_model0_chainA_P4O_resi1__chainA_altB_1,1.067,0.776,0.292
P4O_32_1,mini_3fhr_model0_chainA_P4O_resi1__chainA_altB_1,1.048,0.822,0.225
P4O_5_12,mini_3fhr_model0_chainA_P4O_resi1__chainA_altB_1,1.024,0.755,0.269
CJH_1_52,mini_3fjl_model0_chainA_CJH_resi399__chainA_altA_1,1.048,0.761,0.287
CJH_15_8,mini_3fjl_model0_chainA_CJH_resi399__chainA_altA_1,0.973,0.633,0.341
CJH_22_0,mini_3fjl_model0_chainA_CJH_resi399__chainA_altA_1,0.913,0.603,0.309
3FN_12_116,mini_3fln_model0_chainC_3FN_resi361__chainC_1,1.036,0.767,0.268
3FN_28_12,mini_3fln_model0_chainC_3FN_resi361__chainC_1,0.912,0.606,0.306
3FN_2_1,mini_3fln_model0_chainC_3FN_resi361__chainC_1,0.897,0.643,0.254
FLY_32_41,mini_3fly_model0_chainA_FLY_resi361__chainA_1,1.151,0.806,0.345
FLY_10_0,mini_3fly_model0_chainA_FLY_resi361__chainA_1,1.104,0.741,0.363
FLY_7_48,mini_3fly_model0_chainA_FLY_resi361__chainA_1,1.083,0.846,0.238
FLZ_5_100,mini_3flz_model0_chainA_FLZ_resi361__chainA_1,1.021,0.725,0.296
FLZ_22_257,mini_3flz_model0_chainA_FLZ_resi361__chainA_1,0.985,0.595,0.389
FLZ_21_4,mini_3flz_model0_chainA_FLZ_resi361__chainA_1,0.954,0.645,0.309
FML_27_107,mini_3fml_model0_chainA_FML_resi361__chainA_1,1.052,0.787,0.265
FML_4_9,mini_3fml_model0_chainA_FML_resi361__chainA_1,0.93,0.706,0.224
FML_22_16,mini_3fml_model0_chainA_FML_resi361__chainA_1,0.928,0.613,0.314
XI2_3_98,mini_3fmm_model0_chainA_XI2_resi361__chainA_1,0.973,0.747,0.226
XI2_26_90,mini_3fmm_model0_chainA_XI2_resi361__chainA_1,0.965,0.718,0.247
XI2_11_3,mini_3fmm_model0_chainA_XI2_resi361__chainA_1,0.871,0.691,0.181
55V_4_6,mini_3fqc_model0_chainA_55V_resi219__chainA_1,1.056,0.712,0.343
55V_16_42,mini_3fqc_model0_chainA_55V_resi219__chainA_1,0.959,0.835,0.125
55V_17_292,mini_3fqc_model0_chainA_55V_resi219__chainA_1,0.907,0.637,0.269
P5C_27_116,mini_3fqe_model0_chainA_P5C_resi1__chainA_1,0.929,0.736,0.192
P5C_4_206,mini_3fqe_model0_chainA_P5C_resi1__chainA_1,0.927,0.717,0.21
P5C_15_286,mini_3fqe_model0_chainA_P5C_resi1__chainA_1,0.896,0.761,0.134
057_26_21,mini_3fqh_model0_chainA_057_resi1__chainA_1,0.919,0.676,0.243
057_6_99,mini_3fqh_model0_chainA_057_resi1__chainA_1,0.916,0.614,0.302
057_28_278,mini_3fqh_model0_chainA_057_resi1__chainA_1,0.897,0.587,0.309
8CA_17_11,mini_3fr2_model0_chainA_8CA_resi501__chainA_1,1.156,0.852,0.305
8CA_18_56,mini_3fr2_model0_chainA_8CA_resi501__chainA_1,0.993,0.758,0.235
8CA_12_1,mini_3fr2_model0_chainA_8CA_resi501__chainA_1,0.936,0.602,0.334
F8A_19_4,mini_3fr4_model0_chainA_F8A_resi501__chainA_1,1.018,0.515,0.503
F8A_2_29,mini_3fr4_model0_chainA_F8A_resi501__chainA_1,0.992,0.602,0.391
F8A_20_7,mini_3fr4_model0_chainA_F8A_resi501__chainA_1,0.957,0.56,0.396
I4A_31_29,mini_3fr5_model0_chainA_I4A_resi132__chainA_1,0.974,0.687,0.287
I4A_22_25,mini_3fr5_model0_chainA_I4A_resi132__chainA_1,0.901,0.595,0.306
I4A_7_3,mini_3fr5_model0_chainA_I4A_resi132__chainA_1,0.897,0.637,0.26
I2H_4_39,mini_3fra_model0_chainX_I2H_resi300__chainX_1,0.963,0.731,0.232
I2H_23_1,mini_3fra_model0_chainX_I2H_resi300__chainX_1,0.951,0.734,0.217
I2H_20_27,mini_3fra_model0_chainX_I2H_resi300__chainX_1,0.906,0.588,0.318
XCF_21_260,mini_3frf_model0_chainX_XCF_resi300__chainX_1,0.994,0.649,0.346
XCF_3_47,mini_3frf_model0_chainX_XCF_resi300__chainX_1,0.921,0.695,0.225
XCF_31_74,mini_3frf_model0_chainX_XCF_resi300__chainX_1,0.912,0.744,0.168
RO6_28_20,mini_3fsk_model0_chainA_RO6_resi450__chainA_1,1.152,0.86,0.293
RO6_21_55,mini_3fsk_model0_chainA_RO6_resi450__chainA_1,1.004,0.705,0.3
RO6_2_9,mini_3fsk_model0_chainA_RO6_resi450__chainA_1,0.975,0.632,0.342
1EU_20_4,mini_3fv5_model0_chainA_1EU_resi2__chainA_1,1.115,0.792,0.323
1EU_22_14,mini_3fv5_model0_chainA_1EU_resi2__chainA_1,0.962,0.758,0.204
1EU_17_160,mini_3fv5_model0_chainA_1EU_resi2__chainA_1,0.881,0.748,0.133
SLX_19_15,mini_3fw9_model0_chainA_SLX_resi2__chainA_altB_1,1.005,0.827,0.179
SLX_21_113,mini_3fw9_model0_chainA_SLX_resi2__chainA_altB_1,0.998,0.768,0.23
SLX_6_5,mini_3fw9_model0_chainA_SLX_resi2__chainA_altB_1,0.997,0.788,0.209
F10_27_71,mini_3fxw_model0_chainA_F10_resi1__chainA_altA_1,1.115,0.781,0.334
F10_19_23,mini_3fxw_model0_chainA_F10_resi1__chainA_altA_1,1.09,0.831,0.26
F10_22_27,mini_3fxw_model0_chainA_F10_resi1__chainA_altA_1,1.062,0.799,0.263
XIH_28_5,mini_3g0d_model0_chainD_XIH_resi800__chainD_1,1.248,0.728,0.52
XIH_1_136,mini_3g0d_model0_chainD_XIH_resi800__chainD_1,0.976,0.534,0.442
XIH_13_64,mini_3g0d_model0_chainD_XIH_resi800__chainD_1,0.963,0.521,0.442
RUM_18_49,mini_3g0g_model0_chainA_RUM_resi800__chainA_altB_1,1.034,0.663,0.372
RUM_20_104,mini_3g0g_model0_chainA_RUM_resi800__chainA_altB_1,1.01,0.639,0.371
RUM_17_164,mini_3g0g_model0_chainA_RUM_resi800__chainA_altB_1,0.971,0.729,0.242
MDY_26_213,mini_3g0u_model0_chainA_MDY_resi2__chainA_altA_1,1.005,0.697,0.308
MDY_18_6,mini_3g0u_model0_chainA_MDY_resi2__chainA_altA_1,0.998,0.658,0.34
MDY_7_12,mini_3g0u_model0_chainA_MDY_resi2__chainA_altA_1,0.917,0.672,0.245
LGB_28_184,mini_3g0w_model0_chainA_LGB_resi1__chainA_1,0.995,0.721,0.274
LGB_22_8,mini_3g0w_model0_chainA_LGB_resi1__chainA_1,0.977,0.742,0.235
LGB_20_27,mini_3g0w_model0_chainA_LGB_resi1__chainA_1,0.956,0.723,0.234
MD7_18_195,mini_3g0x_model0_chainA_MD7_resi2__chainA_altB_1,1.021,0.687,0.334
MD7_26_14,mini_3g0x_model0_chainA_MD7_resi2__chainA_altB_1,1.016,0.663,0.354
MD7_22_35,mini_3g0x_model0_chainA_MD7_resi2__chainA_altB_1,0.99,0.754,0.236
RF3_14_8,mini_3g1m_model0_chainA_RF3_resi217__chainA_1,1.02,0.696,0.324
RF3_2_17,mini_3g1m_model0_chainA_RF3_resi217__chainA_1,0.992,0.665,0.327
RF3_6_0,mini_3g1m_model0_chainA_RF3_resi217__chainA_1,0.98,0.709,0.271
RF1_13_12,mini_3g1o_model0_chainA_RF1_resi237__chainA_1,0.98,0.768,0.212
RF1_21_89,mini_3g1o_model0_chainA_RF1_resi237__chainA_1,0.933,0.673,0.26
RF1_28_0,mini_3g1o_model0_chainA_RF1_resi237__chainA_1,0.932,0.669,0.263
Q74_25_2,mini_3g5e_model0_chainA_Q74_resi320__chainA_altA_1,1.025,0.66,0.366
Q74_20_17,mini_3g5e_model0_chainA_Q74_resi320__chainA_altA_1,0.972,0.641,0.332
Q74_9_5,mini_3g5e_model0_chainA_Q74_resi320__chainA_altA_1,0.897,0.685,0.212
30X_7_1,mini_3g8o_model0_chainA_30X_resi1__chainA_1,0.901,0.654,0.248
30X_24_1,mini_3g8o_model0_chainA_30X_resi1__chainA_1,0.881,0.557,0.324
30X_14_8,mini_3g8o_model0_chainA_30X_resi1__chainA_1,0.879,0.59,0.29
G3B_21_128,mini_3gb2_model0_chainA_G3B_resi999__chainA_altB_1,1.089,0.744,0.344
G3B_11_121,mini_3gb2_model0_chainA_G3B_resi999__chainA_altB_1,1.013,0.682,0.331
G3B_25_70,mini_3gb2_model0_chainA_G3B_resi999__chainA_altB_1,0.987,0.775,0.212
AFQ_18_262,mini_3ge7_model0_chainA_AFQ_resi390__chainA_altB_1,0.925,0.638,0.287
AFQ_5_10,mini_3ge7_model0_chainA_AFQ_resi390__chainA_altB_1,0.924,0.741,0.182
AFQ_25_1,mini_3ge7_model0_chainA_AFQ_resi390__chainA_altB_1,0.905,0.634,0.27
DEH_4_0,mini_3gsy_model0_chainA_DEH_altA_resi2__chainA_altA_1,1.056,0.727,0.329
DEH_14_13,mini_3gsy_model0_chainA_DEH_altA_resi2__chainA_altA_1,1.008,0.802,0.206
DEH_7_75,mini_3gsy_model0_chainA_DEH_altA_resi2__chainA_altA_1,0.984,0.765,0.219
QIG_20_100,mini_3gxl_model0_chainA_QIG_resi999__chainA_1,0.99,0.668,0.322
QIG_10_34,mini_3gxl_model0_chainA_QIG_resi999__chainA_1,0.972,0.695,0.277
QIG_27_8,mini_3gxl_model0_chainA_QIG_resi999__chainA_1,0.91,0.711,0.199
B38_5_203,mini_3h0s_model0_chainB_B38_altA_resi102__chainC_chainB_1,0.99,0.695,0.294
B38_23_199,mini_3h0s_model0_chainB_B38_altA_resi102__chainC_chainB_1,0.946,0.604,0.342
B38_8_222,mini_3h0s_model0_chainB_B38_altA_resi102__chainC_chainB_1,0.926,0.65,0.276
9BD_6_7,mini_3h9o_model0_chainA_9BD_resi1__chainA_1,0.988,0.769,0.219
9BD_20_46,mini_3h9o_model0_chainA_9BD_resi1__chainA_1,0.949,0.654,0.295
9BD_22_7,mini_3h9o_model0_chainA_9BD_resi1__chainA_1,0.912,0.689,0.222
361_12_4,mini_3hac_model0_chainA_361_resi803__chainA_altB_1,1.016,0.711,0.305
361_26_3,mini_3hac_model0_chainA_361_resi803__chainA_altB_1,1.013,0.703,0.31
361_7_84,mini_3hac_model0_chainA_361_resi803__chainA_altB_1,1.002,0.718,0.284
NOW_12_141,mini_3hha_model0_chainD_NOW_resi301__chainD_altA_1,0.881,0.683,0.198
NOW_19_188,mini_3hha_model0_chainD_NOW_resi301__chainD_altA_1,0.868,0.597,0.272
NOW_23_118,mini_3hha_model0_chainD_NOW_resi301__chainD_altA_1,0.851,0.576,0.276
B64_26_4,mini_3hk1_model0_chainA_B64_resi132__chainA_altA_1,1.054,0.731,0.323
B64_29_169,mini_3hk1_model0_chainA_B64_resi132__chainA_altA_1,1.013,0.566,0.447
B64_20_1,mini_3hk1_model0_chainA_B64_resi132__chainA_altA_1,1.013,0.646,0.367
I47_8_28,mini_3hl7_model0_chainA_I47_resi401__chainA_1,0.976,0.698,0.278
I47_21_279,mini_3hl7_model0_chainA_I47_resi401__chainA_1,0.973,0.699,0.274
I47_18_1,mini_3hl7_model0_chainA_I47_resi401__chainA_1,0.934,0.707,0.228
MJA_4_78,mini_3hle_model0_chainA_MJA_resi500__chainA_altB_1,0.862,0.585,0.277
MJA_19_38,mini_3hle_model0_chainA_MJA_resi500__chainA_altB_1,0.844,0.638,0.207
MJA_28_85,mini_3hle_model0_chainA_MJA_resi500__chainA_altB_1,0.835,0.605,0.231
855_16_1,mini_3hmm_model0_chainA_855_resi857__chainA_1,1.182,0.799,0.383
855_17_5,mini_3hmm_model0_chainA_855_resi857__chainA_1,1.165,0.836,0.329
855_24_1,mini_3hmm_model0_chainA_855_resi857__chainA_1,1.065,0.703,0.362
G97_19_135,mini_3huc_model0_chainA_G97_resi362__chainA_altB_1,0.913,0.728,0.185
G97_10_1,mini_3huc_model0_chainA_G97_resi362__chainA_altB_1,0.86,0.64,0.221
G97_27_88,mini_3huc_model0_chainA_G97_resi362__chainA_altB_1,0.852,0.69,0.163
