Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
BRL_9_166,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,0.88,0.643,0.236
BRL_2_48,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,0.833,0.579,0.254
BRL_16_40,mini_1fm6_model0_chainD_BRL_resi503__chainD_1,0.798,0.622,0.176
PRC_31_60,mini_1fpu_model0_chainB_PRC_resi2__chainB_1,0.857,0.538,0.318
PRC_26_163,mini_1fpu_model0_chainB_PRC_resi2__chainB_1,0.849,0.596,0.253
PRC_5_1,mini_1fpu_model0_chainB_PRC_resi2__chainB_1,0.832,0.63,0.202
9AR_22_56,mini_1fv0_model0_chainA_9AR_resi401__chainA_1,1.067,0.702,0.365
9AR_21_7,mini_1fv0_model0_chainA_9AR_resi401__chainA_1,0.958,0.661,0.298
9AR_11_53,mini_1fv0_model0_chainA_9AR_resi401__chainA_1,0.957,0.646,0.311
106_9_17,mini_1fvt_model0_chainA_106_resi299__chainA_1,1.16,0.854,0.306
106_15_15,mini_1fvt_model0_chainA_106_resi299__chainA_1,1.063,0.773,0.29
106_31_137,mini_1fvt_model0_chainA_106_resi299__chainA_1,1.037,0.733,0.303
PNN_15_12,mini_1fxv_model0_chainB_PNN_resi1001__chainB_1,0.986,0.751,0.235
PNN_17_202,mini_1fxv_model0_chainB_PNN_resi1001__chainB_1,0.962,0.747,0.215
PNN_7_30,mini_1fxv_model0_chainB_PNN_resi1001__chainB_1,0.941,0.652,0.289
RQ3_24_34,mini_1g9v_model0_chainA_RQ3_resi801__chainB_chainA_1,0.942,0.674,0.268
RQ3_4_83,mini_1g9v_model0_chainA_RQ3_resi801__chainB_chainA_1,0.922,0.693,0.228
RQ3_25_150,mini_1g9v_model0_chainA_RQ3_resi801__chainB_chainA_1,0.851,0.627,0.223
FAF_18_225,mini_1ggd_model0_chainC_FAF_altA_resi301__chainC_altB_1,0.956,0.645,0.31
FAF_21_73,mini_1ggd_model0_chainC_FAF_altA_resi301__chainC_altB_1,0.916,0.733,0.183
FAF_17_60,mini_1ggd_model0_chainC_FAF_altA_resi301__chainC_altB_1,0.852,0.641,0.211
1PU_6_162,mini_1gii_model0_chainA_1PU_resi501__chainA_1,1.044,0.595,0.449
1PU_10_63,mini_1gii_model0_chainA_1PU_resi501__chainA_1,1.031,0.785,0.246
1PU_26_20,mini_1gii_model0_chainA_1PU_resi501__chainA_1,1.003,0.702,0.301
2PU_21_268,mini_1gij_model0_chainA_2PU_resi501__chainA_1,0.932,0.774,0.158
2PU_19_162,mini_1gij_model0_chainA_2PU_resi501__chainA_1,0.928,0.714,0.214
2PU_29_167,mini_1gij_model0_chainA_2PU_resi501__chainA_1,0.917,0.703,0.213
132_32_226,mini_1gj4_model0_chainH_132_resi410__chainH_altA_1,1.058,0.811,0.247
132_13_36,mini_1gj4_model0_chainH_132_resi410__chainH_altA_1,1.011,0.742,0.269
132_4_55,mini_1gj4_model0_chainH_132_resi410__chainH_altA_1,0.969,0.713,0.256
130_29_35,mini_1gj5_model0_chainH_130_resi410__chainH_altB_1,0.95,0.701,0.249
130_22_55,mini_1gj5_model0_chainH_130_resi410__chainH_altB_1,0.927,0.708,0.219
130_24_8,mini_1gj5_model0_chainH_130_resi410__chainH_altB_1,0.918,0.765,0.153
133_10_1,mini_1gj8_model0_chainB_133_resi251__chainB_altB_1,0.921,0.743,0.178
133_30_233,mini_1gj8_model0_chainB_133_resi251__chainB_altB_1,0.909,0.736,0.173
133_28_200,mini_1gj8_model0_chainB_133_resi251__chainB_altB_1,0.897,0.749,0.148
2A6_24_46,mini_1h1q_model0_chainC_2A6_resi1298__chainC_1,1.073,0.72,0.352
2A6_22_2,mini_1h1q_model0_chainC_2A6_resi1298__chainC_1,1.061,0.623,0.438
2A6_20_19,mini_1h1q_model0_chainC_2A6_resi1298__chainC_1,1.058,0.672,0.386
GZZ_28_5,mini_1h82_model0_chainA_GZZ_resi590__chainA_1,0.923,0.725,0.198
GZZ_29_3,mini_1h82_model0_chainA_GZZ_resi590__chainA_1,0.91,0.71,0.2
GZZ_23_157,mini_1h82_model0_chainA_GZZ_resi590__chainA_1,0.86,0.666,0.194
RWF_20_5,mini_1h9z_model0_chainA_RWF_resi3001__chainA_1,1.033,0.739,0.295
RWF_18_44,mini_1h9z_model0_chainA_RWF_resi3001__chainA_1,0.983,0.78,0.203
RWF_10_0,mini_1h9z_model0_chainA_RWF_resi3001__chainA_1,0.923,0.634,0.289
SWF_22_52,mini_1ha2_model0_chainA_SWF_resi3001__chainA_1,1.077,0.773,0.304
SWF_28_105,mini_1ha2_model0_chainA_SWF_resi3001__chainA_1,1.014,0.762,0.252
SWF_4_18,mini_1ha2_model0_chainA_SWF_resi3001__chainA_1,0.977,0.686,0.291
BNI_22_145,mini_1i9h_model0_chainB_BNI_resi502__chainB_1,0.856,0.701,0.155
BNI_21_78,mini_1i9h_model0_chainB_BNI_resi502__chainB_1,0.822,0.617,0.205
BNI_16_45,mini_1i9h_model0_chainB_BNI_resi502__chainB_1,0.792,0.658,0.134
ICL_19_11,mini_1inc_model0_chainA_ICL_resi260__chainA_1,0.984,0.722,0.262
ICL_9_50,mini_1inc_model0_chainA_ICL_resi260__chainA_1,0.899,0.722,0.177
ICL_14_37,mini_1inc_model0_chainA_ICL_resi260__chainA_1,0.897,0.718,0.179
